data,subj,face_dir,emo
0.0354292745206736,1,1,1
0.010247989704798,2,1,1
0.0327238532945133,3,1,1
-0.000944935595135043,4,1,1
0.0362352802432505,5,1,1
0.0124889929300728,6,1,1
0.0319785045777012,7,1,1
0.0389753716013557,8,1,1
0.0134189275276385,9,1,1
0.0731711580409131,10,1,1
0.0125032826227863,11,1,1
0.00827643536657275,12,1,1
0.0223491894506166,13,1,1
0.0675397204272057,14,1,1
0.0631221205842361,15,1,1
0.0740205247317034,16,1,1
0.0206661738486297,17,1,1
0.0773641532537882,18,1,1
0.0161396271272058,19,1,1
0.0365979525702118,20,1,1
0.0674885191309328,21,1,1
0.0476305867455749,22,1,1
-0.00353971569504168,23,1,1
0.0199852981422381,24,1,1
0.0135088564417934,25,1,1
0.0029226834274853,26,1,1
0.0561866332911595,27,1,1
0.0179222439059135,28,1,1
0.0380375410284917,29,1,1
0.0581811586178953,30,1,1
0.0527290018708696,31,1,1
0.0947176461204816,1,1,2
0.0885503301170615,2,1,2
0.0396550322257156,3,1,2
0.179876857593431,4,1,2
0.0613479864397384,5,1,2
0.0340752931036733,6,1,2
0.0157792562098441,7,1,2
0.0674693476397093,8,1,2
0.0610352821479411,9,1,2
0.00166578412262582,10,1,2
0.0243883668680826,11,1,2
-0.000589778635877861,12,1,2
0.0175455821276864,13,1,2
0.0141982893233357,14,1,2
0.0585039070333143,15,1,2
0.0358321076712114,16,1,2
0.120871723885838,17,1,2
0.0209245352069906,18,1,2
0.0519014999424653,19,1,2
0.0635593903040755,20,1,2
0.0670062216242733,21,1,2
0.00393935318642326,22,1,2
0.0414612434919849,23,1,2
0.0239554078609276,24,1,2
0.0309884200376841,25,1,2
0.00582423133817861,26,1,2
0.212143032054072,27,1,2
0.00882849835391066,28,1,2
0.0813773040746383,29,1,2
0.0120147240093371,30,1,2
-0.00762626880887342,31,1,2
-0.00505298956620213,1,1,3
-0.00344111355034639,2,1,3
-0.00909083739575497,3,1,3
0.00878929645158293,4,1,3
-0.00337116246980702,5,1,3
-0.012815846247961,6,1,3
-0.00204143406617201,7,1,3
-0.0174669187828989,8,1,3
