data,subj,face_dir,emo
0.0016242324441978,1,1,1
0.00837248905399214,2,1,1
0.0462282187659696,3,1,1
0.0232022892238621,4,1,1
0.0160074263882048,5,1,1
-0.00333577871871776,6,1,1
0.0175417733237493,7,1,1
-0.0125809298627483,8,1,1
0.0270067013316246,9,1,1
-0.013647033495573,10,1,1
0.0047175128336092,11,1,1
0.0315661076377354,12,1,1
-0.00374656529792887,13,1,1
-0.0106295660176872,14,1,1
0.0528525048544546,15,1,1
-0.00649777875213381,16,1,1
-0.00352504454523225,17,1,1
0.0138018038297639,18,1,1
0.00132279575342146,19,1,1
0.00199457129128109,20,1,1
-0.0103639530992308,21,1,1
0.00951629303947978,22,1,1
0.0108007102347734,23,1,1
0.134177735967628,24,1,1
0.0138541794561656,25,1,1
0.0366896661319277,26,1,1
0.0210084427131845,27,1,1
0.00864546598704844,28,1,1
0.0308667343268425,29,1,1
0.00751959861695398,30,1,1
-0.0174742299966004,1,1,2
0.0383169715741746,2,1,2
0.0446318933786211,3,1,2
0.00822987022199624,4,1,2
0.0198642544197158,5,1,2
0.00724374684931705,6,1,2
0.0211631934893829,7,1,2
0.0577778923614928,8,1,2
0.0380886448099401,9,1,2
0.00405910124738604,10,1,2
0.017109961580201,11,1,2
-0.000321288667074108,12,1,2
0.0356368033885366,13,1,2
0.00312638488394397,14,1,2
0.0203542367033029,15,1,2
0.0555496949761191,16,1,2
0.0573920641963998,17,1,2
0.0204920349061378,18,1,2
0.0295435879109241,19,1,2
-0.0107764555814982,20,1,2
0.0300356671413323,21,1,2
0.0430689146904105,22,1,2
0.0241980270312772,23,1,2
0.00124866792281764,24,1,2
0.0302367805758348,25,1,2
0.0531084845387623,26,1,2
0.0406271911754303,27,1,2
-0.00890196935095284,28,1,2
0.0760724993290309,29,1,2
-0.00175377602243986,30,1,2
0.0409264076912132,1,1,3
0.0158036788374755,2,1,3
-0.00972098361869595,3,1,3
0.00633581077781457,4,1,3
-0.00097925517236926,5,1,3
-0.00552330111692399,6,1,3
0.0224259178536492,7,1,3
0.0169419519350743,8,1,3
0.0116399092886752,9,1,3
-0.023137468986434,10,1,3
0.0156431919082057,11,1,3
0.0111544687662881,12,1,3
0.0014001160891499,13,1,3
-0.00221614612285125,14,1,3
-0.0142502132896951,15,1,3
0.0828405878023872,16,1,3
0.040982762283278,17,1,3
-0.00380683345706067,18,1,3
-0.00213598630907391,19,1,3
-0.00687903699373072,20,1,3
0.0149119020890377,21,1,3
0.0160418379480705,22,1,3
-0.00993845426324272,23,1,3
-0.0144880193121926,24,1,3
-0.0112416009968105,25,1,3
-0.00932623901986039,26,1,3
0.00152449812385477,27,1,3
0.0010201790763633,28,1,3
0.0610758686536819,29,1,3
0.0345902965867575,30,1,3
-0.00561897828903079,1,2,1
-0.00621470522669822,2,2,1
0.0568154909463179,3,2,1
0.0402705202546391,4,2,1
-0.0075624192649505,5,2,1
0.0243384221372819,6,2,1
-0.00350262220339813,7,2,1
0.0119609351506823,8,2,1
0.00567163697265017,9,2,1
-0.00596169324309701,10,2,1
0.0200545806751309,11,2,1
-0.00213795204443114,12,2,1
0.0349908673047981,13,2,1
-0.0144741462847884,14,2,1
0.0257365329894399,15,2,1
-0.017694748247086,16,2,1
0.0224495081052335,17,2,1
0.0052550457138042,18,2,1
0.000805869591239923,19,2,1
0.0067028859372668,20,2,1
0.0495823694529295,21,2,1
-0.00836202466830954,22,2,1
0.00756773599406679,23,2,1
0.00596931758807924,24,2,1
0.0116145714207993,25,2,1
0.0153988001518972,26,2,1
0.0579116530700247,27,2,1
0.000431391910654138,28,2,1
0.0305977680134169,29,2,1
0.0116520007960789,30,2,1
-0.0176595037163925,1,2,2
-0.00550553593904883,2,2,2
0.028111949236761,3,2,2
0.000657532442681229,4,2,2
0.0209855637130438,5,2,2
-0.00918732902796333,6,2,2
0.0113438656025278,7,2,2
0.0417429013342529,8,2,2
0.0244930759382826,9,2,2
0.0416167869878588,10,2,2
-0.00687048743646342,11,2,2
-0.0182781940875744,12,2,2
0.00535437175405863,13,2,2
0.040397628647056,14,2,2
0.00809299075538603,15,2,2
0.0116022677658112,16,2,2
0.00560529389901001,17,2,2
0.0229920192779912,18,2,2
0.0280938445180797,19,2,2
-0.0095365881455988,20,2,2
0.0393222206423812,21,2,2
0.0105231428145119,22,2,2
-0.000657486030506167,23,2,2
0.0320207515820902,24,2,2
0.0019781690260909,25,2,2
0.0100615815285267,26,2,2
-0.00982079958166485,27,2,2
-0.000137828352419022,28,2,2
0.0514060528653267,29,2,2
0.0193924005771033,30,2,2
0.0108347134663052,1,2,3
-0.0235998818284769,2,2,3
0.00464172623483268,3,2,3
-0.00655808543056208,4,2,3
-0.00381808842450508,5,2,3
0.0183327845346921,6,2,3
-0.000334066429359393,7,2,3
-0.0031317628012401,8,2,3
-0.00326850549369858,9,2,3
0.0252873868303914,10,2,3
-0.014798272878,11,2,3
0.0133455502217909,12,2,3
0.00135007269529482,13,2,3
-0.00525308938219358,14,2,3
-0.0156574045139713,15,2,3
-0.00951226490249473,16,2,3
0.00636446020633881,17,2,3
-0.00545558261852654,18,2,3
-0.00650493791826991,19,2,3
0.0157767126567146,20,2,3
-0.00897024800527044,21,2,3
-0.0026639539707359,22,2,3
-0.00269496992287025,23,2,3
-0.00521542519445857,24,2,3
-0.0104393404682573,25,2,3
-0.0204694321057361,26,2,3
0.0112643977973805,27,2,3
-0.00133067864896262,28,2,3
-0.0118595187380346,29,2,3
-0.010651135449984,30,2,3
