data,subj,face_dir,emo
0.20241574707245,1,1,1
0.207328278692137,2,1,1
0.166737409875421,3,1,1
0.208295840998872,4,1,1
0.413831118381341,5,1,1
0.592335890096707,6,1,1
0.334312757581886,7,1,1
0.27915655367146,8,1,1
0.243939526389112,9,1,1
0.332974243454189,10,1,1
0.144521572889626,11,1,1
0.562551323335732,12,1,1
0.191463035247604,13,1,1
0.180035472397937,14,1,1
0.219705268825514,15,1,1
0.398647258231313,16,1,1
0.256757009889106,1,1,2
0.166719187266925,2,1,2
0.172588070644724,3,1,2
0.188617045588589,4,1,2
0.428467140887291,5,1,2
0.57566126325018,6,1,2
0.242854869982933,7,1,2
0.267620352732371,8,1,2
0.266249124037201,9,1,2
0.205921833985162,10,1,2
0.0584538843272184,11,1,2
0.581802390407946,12,1,2
0.260013287899374,13,1,2
0.195040290296728,14,1,2
0.35595302045604,15,1,2
0.498754415611153,16,1,2
0.205773074006008,1,1,3
0.22707479429974,2,1,3
0.219226223950091,3,1,3
0.206708461333519,4,1,3
0.404304400275991,5,1,3
0.580128703105385,6,1,3
0.298939009508496,7,1,3
0.272527084494686,8,1,3
0.224645201572643,9,1,3
0.286186173016682,10,1,3
0.108786720335345,11,1,3
0.54151397104267,12,1,3
0.269820455477702,13,1,3
0.193895054138793,14,1,3
0.319125777565206,15,1,3
0.451071909807703,16,1,3
0.426405127994301,1,2,1
0.231506152131263,2,2,1
0.342567455120298,3,2,1
0.216148202049451,4,2,1
0.322216664028582,5,2,1
0.641671061822851,6,2,1
0.401146410327334,7,2,1
0.192175616545257,8,2,1
0.0650737791633386,9,2,1
0.532286901010655,10,2,1
0.547998809847287,11,2,1
0.435672160272238,12,2,1
0.0625635739839628,13,2,1
0.281339701818651,14,2,1
0.581532650565547,15,2,1
0.283411647951526,16,2,1
0.437044582923593,1,2,2
0.172831525876134,2,2,2
0.450169316133741,3,2,2
0.184436984945102,4,2,2
0.326860962735185,5,2,2
0.526115769437358,6,2,2
0.452437450706531,7,2,2
0.17926539350941,8,2,2
0.0692961377495454,9,2,2
0.537299195345921,10,2,2
0.567925583122478,11,2,2
0.354833507422762,12,2,2
0.116530190588427,13,2,2
0.240033500743277,14,2,2
0.538123110382202,15,2,2
0.355448507470624,16,2,2
0.549248460233122,1,2,3
0.262758704101542,2,2,3
0.285113630445297,3,2,3
0.260764721193792,4,2,3
0.290107152588015,5,2,3
0.617408923383127,6,2,3
0.374242930923067,7,2,3
0.198939141002074,8,2,3
0.1074573587319,9,2,3
0.521676146400261,10,2,3
0.60251264795116,11,2,3
0.326533681076476,12,2,3
0.0925625894255155,13,2,3
0.249165468952099,14,2,3
0.493024787111611,15,2,3
0.326010796278983,16,2,3
