data,subj,face_dir,emo
0.316562739008599,1,1,1
0.224587982347093,2,1,1
0.111295814805641,3,1,1
0.301296600220324,4,1,1
0.474496698358226,5,1,1
0.641416150343634,6,1,1
0.405954129384462,7,1,1
0.392232067321497,8,1,1
0.140677598252666,9,1,1
0.510554363277871,10,1,1
0.169264776061305,11,1,1
0.594267113963838,12,1,1
0.276453581911261,13,1,1
0.389887315788281,14,1,1
0.571726545245858,15,1,1
0.521304688321493,16,1,1
0.39059034345875,1,1,2
0.182903784766361,2,1,2
0.112807455374548,3,1,2
0.274378496281747,4,1,2
0.398186267611818,5,1,2
0.719642890486606,6,1,2
0.39141001089325,7,1,2
0.40820876710311,8,1,2
0.160233902790598,9,1,2
0.481925796821461,10,1,2
0.121049304985304,11,1,2
0.583106443014967,12,1,2
0.171337641481003,13,1,2
0.401079236995288,14,1,2
0.548940246449988,15,1,2
0.573209214923121,16,1,2
0.270412626500594,1,1,3
0.24078512073036,2,1,3
0.0740506335845319,3,1,3
0.348232058626847,4,1,3
0.379979083202491,5,1,3
0.715867993507788,6,1,3
0.361387666915271,7,1,3
0.386826604343263,8,1,3
0.187758794830727,9,1,3
0.524573733258053,10,1,3
0.142238945304116,11,1,3
0.499927213482638,12,1,3
0.196005547838324,13,1,3
0.299199611771905,14,1,3
0.573924201270768,15,1,3
0.563887539843094,16,1,3
0.349636008360945,1,2,1
0.359867612742972,2,2,1
0.41349608939963,3,2,1
0.260623643678525,4,2,1
0.281786015922255,5,2,1
0.697866684572018,6,2,1
0.45781926235978,7,2,1
0.39174114632898,8,2,1
0.0902476705692648,9,2,1
0.627259640475393,10,2,1
0.468661438824544,11,2,1
0.577900520307635,12,2,1
0.183673658221019,13,2,1
0.304318542673724,14,2,1
0.561440413870394,15,2,1
0.413996017029499,16,2,1
0.267518453870275,1,2,2
0.32984376101129,2,2,2
0.306652613840577,3,2,2
0.243100942096523,4,2,2
0.317759232725219,5,2,2
0.707203090599042,6,2,2
0.527777414748198,7,2,2
0.438628925793437,8,2,2
0.101409291280956,9,2,2
0.655882231987288,10,2,2
0.538538443338384,11,2,2
0.65031170960051,12,2,2
0.205692797086445,13,2,2
0.379382295450615,14,2,2
0.589525295384081,15,2,2
0.387411828676393,16,2,2
0.145192586260709,1,2,3
0.38657704791311,2,2,3
0.335690644539313,3,2,3
0.194520763769208,4,2,3
0.282182428868647,5,2,3
0.655969221733281,6,2,3
0.501336828829314,7,2,3
0.397230942062108,8,2,3
0.111238449334712,9,2,3
0.6718918390599,10,2,3
0.49912012312746,11,2,3
0.620581128956926,12,2,3
0.175211693645878,13,2,3
0.309655125210218,14,2,3
0.572909260549135,15,2,3
0.333581830696082,16,2,3
