data,subj,face_dir,emo
0.448762054231926,1,1,1
0.410875047964326,2,1,1
0.45417811752129,3,1,1
0.4608849809629,4,1,1
0.478145926479651,5,1,1
0.395904968209299,6,1,1
0.498878796673895,7,1,1
0.327181520935964,8,1,1
0.507905059121049,9,1,1
0.303374380967747,10,1,1
0.572998559373605,11,1,1
0.0994809470439955,12,1,1
0.351749351128622,13,1,1
0.703057393882325,14,1,1
0.530416836619907,15,1,1
0.349240094712057,16,1,1
0.511054166609638,17,1,1
0.333760854084246,18,1,1
0.641083976331757,19,1,1
0.307994570415443,20,1,1
0.285381534764622,21,1,1
0.471623741970041,22,1,1
0.244269862328493,23,1,1
0.70344724012077,24,1,1
0.446841205572071,25,1,1
0.250267097641114,26,1,1
0.803478957742302,27,1,1
0.260351023134948,28,1,1
0.519416910930801,29,1,1
0.238026026287652,30,1,1
0.379458872115009,31,1,1
0.475284590378706,1,1,2
0.340865945470843,2,1,2
0.490277920891687,3,1,2
0.43261383523361,4,1,2
0.533151867257981,5,1,2
0.402998383481065,6,1,2
0.404352630106786,7,1,2
0.332034063527117,8,1,2
0.442508505517051,9,1,2
0.238260749260666,10,1,2
0.479872858468643,11,1,2
0.163933596968893,12,1,2
0.41368572863531,13,1,2
0.711575630251478,14,1,2
0.441449768692016,15,1,2
0.317044402846797,16,1,2
0.476172029491151,17,1,2
0.306244746474729,18,1,2
0.710008732682712,19,1,2
0.391944654280771,20,1,2
0.264627617939457,21,1,2
0.478581263682446,22,1,2
0.153487563391604,23,1,2
0.713972155455447,24,1,2
0.423071101712401,25,1,2
0.229767596513183,26,1,2
0.766774309000895,27,1,2
0.245068728615012,28,1,2
0.411747630327007,29,1,2
0.226238921272317,30,1,2
0.320085906204387,31,1,2
0.475125122091554,1,1,3
0.4564582453314,2,1,3
0.515049345759319,3,1,3
0.464535502961273,4,1,3
0.482711583900556,5,1,3
0.360293126602415,6,1,3
0.419903367196856,7,1,3
0.334256030597655,8,1,3
0.500966422356983,9,1,3
0.331253267002907,10,1,3
0.48939541284095,11,1,3
0.149291521101865,12,1,3
0.491199240738377,13,1,3
0.695146015134712,14,1,3
0.536002571535457,15,1,3
0.343253212532294,16,1,3
0.554607248013064,17,1,3
0.335501498560611,18,1,3
0.664332162483892,19,1,3
0.400458816877143,20,1,3
0.318848939543648,21,1,3
0.474047818130383,22,1,3
0.246405688205869,23,1,3
0.702781467327905,24,1,3
0.493413933383479,25,1,3
0.242324704027714,26,1,3
0.789759666899162,27,1,3
0.251504631408768,28,1,3
0.52270931988008,29,1,3
0.201136238595994,30,1,3
0.308639537764449,31,1,3
0.355218540843329,1,2,1
0.317930741154112,2,2,1
0.413689196418946,3,2,1
0.516236580675799,4,2,1
0.50587562776497,5,2,1
0.338199178062403,6,2,1
0.441193449191421,7,2,1
0.368075000030915,8,2,1
0.470115628321394,9,2,1
0.245152094545232,10,2,1
0.354963276615054,11,2,1
0.198409748595151,12,2,1
0.313475675396718,13,2,1
0.553013847685434,14,2,1
0.423966355752704,15,2,1
0.462366070269546,16,2,1
0.584955988955157,17,2,1
0.212763861221964,18,2,1
0.619054534615105,19,2,1
0.417394036022875,20,2,1
0.222176271530121,21,2,1
0.596867139380807,22,2,1
0.162521041349925,23,2,1
0.618911843048141,24,2,1
0.315620954122939,25,2,1
0.270072438013254,26,2,1
0.65529110282202,27,2,1
0.184679292527108,28,2,1
0.387580253970906,29,2,1
0.202345146256401,30,2,1
0.306496338405014,31,2,1
0.418143644229331,1,2,2
0.327228224927045,2,2,2
0.372691267089954,3,2,2
0.60204414319149,4,2,2
0.527979263363299,5,2,2
0.438562094987866,6,2,2
0.36332792473053,7,2,2
0.339809907243129,8,2,2
0.48300248051572,9,2,2
0.216232356971442,10,2,2
0.411733520076466,11,2,2
0.105948149958602,12,2,2
0.285157407519835,13,2,2
0.666810647200325,14,2,2
0.427386128215217,15,2,2
0.400720517256082,16,2,2
0.584572202336188,17,2,2
0.286839718372757,18,2,2
0.575266520460739,19,2,2
0.352735462500341,20,2,2
0.334948960185351,21,2,2
0.475411183650156,22,2,2
0.240459176333212,23,2,2
0.626354643664936,24,2,2
0.31431998189888,25,2,2
0.28848850943545,26,2,2
0.639771279189441,27,2,2
0.20990495104959,28,2,2
0.430053804396428,29,2,2
0.205444943132524,30,2,2
0.262403051339424,31,2,2
0.311712379781208,1,2,3
0.233345568128354,2,2,3
0.433941967354021,3,2,3
0.50255687696133,4,2,3
0.523894204203731,5,2,3
0.410099909958365,6,2,3
0.372255745435699,7,2,3
0.398277444304812,8,2,3
0.463781787370609,9,2,3
0.262130851273865,10,2,3
0.424889955328242,11,2,3
0.142129625090953,12,2,3
0.301515259193367,13,2,3
0.605474641833752,14,2,3
0.43570102659473,15,2,3
0.374248572396932,16,2,3
0.583757633077432,17,2,3
0.181926449704467,18,2,3
0.555117786918154,19,2,3
0.420601293522413,20,2,3
0.298930401890234,21,2,3
0.540672546355896,22,2,3
0.256474125521578,23,2,3
0.645136805499546,24,2,3
0.392086825092931,25,2,3
0.26010410238461,26,2,3
0.637976013277267,27,2,3
0.142426027383443,28,2,3
0.40311240316436,29,2,3
0.204639099221444,30,2,3
0.326846176071512,31,2,3
