data,subj,face_dir,emo
0.267809330321771,1,1,1
0.337362484176092,2,1,1
0.547595423238517,3,1,1
0.363990416731016,4,1,1
0.35756960104712,5,1,1
0.244808528584629,6,1,1
0.288877150682847,7,1,1
0.55540845665328,8,1,1
0.267809330321771,9,1,1
0.42397604986262,10,1,1
0.231721061510643,11,1,1
0.363990416731016,12,1,1
0.235646306546593,13,1,1
0.460184019334888,14,1,1
0.239175049663417,15,1,1
0.366851391892234,16,1,1
0.286687297659807,1,1,2
0.278237434402266,2,1,2
0.543569402100088,3,1,2
0.355591961414449,4,1,2
0.35892628658342,5,1,2
0.190403066162621,6,1,2
0.335526146733233,7,1,2
0.517822600149293,8,1,2
0.286687297659807,9,1,2
0.33184184612728,10,1,2
0.259675315754195,11,1,2
0.355591961414449,12,1,2
0.224787861221171,13,1,2
0.484830253560169,14,1,2
0.221643050250845,15,1,2
0.368373015947187,16,1,2
0.26150652868296,1,1,3
0.256338440488188,2,1,3
0.505436499651597,3,1,3
0.419888242418586,4,1,3
0.346057670258397,5,1,3
0.213859035771414,6,1,3
0.332843188389851,7,1,3
0.537547346380637,8,1,3
0.26150652868296,9,1,3
0.347228094661555,10,1,3
0.314221520499183,11,1,3
0.419888242418586,12,1,3
0.244856170536823,13,1,3
0.526628417438725,14,1,3
0.206435469510206,15,1,3
0.371055814497496,16,1,3
0.196328616160842,1,2,1
0.426003083381365,2,2,1
0.509188354563144,3,2,1
0.435683028647576,4,2,1
0.439414937713369,5,2,1
0.221107162248937,6,2,1
0.392440152382517,7,2,1
0.518974138656503,8,2,1
0.196328616160842,9,2,1
0.180911669743834,10,2,1
0.463231847936838,11,2,1
0.435683028647576,12,2,1
0.336490727075827,13,2,1
0.516781358867746,14,2,1
0.376225964970817,15,2,1
0.449634224267465,16,2,1
0.199804770156699,1,2,2
0.459643917383323,2,2,2
0.486080330342791,3,2,2
0.338312096039593,4,2,2
0.425559369299409,5,2,2
0.214674768760507,6,2,2
0.368086100742471,7,2,2
0.517058791218016,8,2,2
0.199804770156699,9,2,2
0.132524250241408,10,2,2
0.428920170060529,11,2,2
0.338312096039593,12,2,2
0.401477198024601,13,2,2
0.62567486311058,14,2,2
0.354649676785368,15,2,2
0.443621993971676,16,2,2
0.225903417220018,1,2,3
0.442581384731911,2,2,3
0.497269649233248,3,2,3
0.424765635675238,4,2,3
0.451511289585076,5,2,3
0.226333266669046,6,2,3
0.324013725001957,7,2,3
0.531809750531856,8,2,3
0.225903417220018,9,2,3
0.188510251021029,10,2,3
0.487007675549642,11,2,3
0.424765635675238,12,2,3
0.349199646900086,13,2,3
0.553890474551893,14,2,3
0.338134956689336,15,2,3
0.378374564129627,16,2,3
