subject,pic_id,rating,question
10,1,6,angry
10,2,1,angry
10,3,1,angry
10,4,6,angry
10,5,8,angry
10,10,5,angry
10,15,1,angry
10,20,1,angry
10,1,1,happy
10,2,1,happy
10,3,8,happy
10,4,1,happy
10,5,1,happy
10,10,5,happy
10,15,9,happy
10,20,1,happy
10,1,5,disgusted
10,2,1,disgusted
10,3,2,disgusted
10,4,7,disgusted
10,5,6,disgusted
10,10,2,disgusted
10,15,9,disgusted
10,20,8,disgusted
7,1,8,angry
7,2,2,angry
7,3,1,angry
7,4,4,angry
7,5,8,angry
7,10,5,angry
7,15,2,angry
7,20,3,angry
7,1,2,happy
7,2,4,happy
7,3,8,happy
7,4,2,happy
7,5,2,happy
7,10,2,happy
7,15,7,happy
7,20,2,happy
7,1,2,disgusted
7,2,2,disgusted
7,3,1,disgusted
7,4,8,disgusted
7,5,4,disgusted
7,10,2,disgusted
7,15,2,disgusted
7,20,9,disgusted
13,1,6,angry
13,2,1,angry
13,3,1,angry
13,4,5,angry
13,5,8,angry
13,10,1,angry
13,15,1,angry
13,20,4,angry
13,1,1,happy
13,2,5,happy
13,3,8,happy
13,4,1,happy
13,5,1,happy
13,10,5,happy
13,15,7,happy
13,20,1,happy
13,1,1,disgusted
13,2,1,disgusted
13,3,1,disgusted
13,4,5,disgusted
13,5,1,disgusted
13,10,1,disgusted
13,15,1,disgusted
13,20,6,disgusted
21,1,8,angry
21,2,5,angry
21,3,1,angry
21,4,3,angry
21,5,8,angry
21,10,5,angry
21,15,1,angry
21,20,1,angry
21,1,1,happy
21,2,2,happy
21,3,7,happy
21,4,1,happy
21,5,1,happy
21,10,3,happy
21,15,8,happy
21,20,1,happy
21,1,3,disgusted
21,2,3,disgusted
21,3,1,disgusted
21,4,7,disgusted
21,5,2,disgusted
21,10,7,disgusted
21,15,1,disgusted
21,20,9,disgusted
25,1,5,angry
25,2,4,angry
25,3,1,angry
25,4,5,angry
25,5,9,angry
25,10,6,angry
25,15,1,angry
25,20,4,angry
25,1,3,happy
25,2,6,happy
25,3,9,happy
25,4,2,happy
25,5,1,happy
25,10,2,happy
25,15,9,happy
25,20,2,happy
25,1,6,disgusted
25,2,3,disgusted
25,3,2,disgusted
25,4,8,disgusted
25,5,6,disgusted
25,10,7,disgusted
25,15,2,disgusted
25,20,9,disgusted
16,1,7,angry
16,2,3,angry
16,3,1,angry
16,4,6,angry
16,5,9,angry
16,10,5,angry
16,15,9,angry
16,20,9,angry
16,1,3,happy
16,2,5,happy
16,3,8,happy
16,4,3,happy
16,5,1,happy
16,10,5,happy
16,15,9,happy
16,20,1,happy
16,1,7,disgusted
16,2,2,disgusted
16,3,2,disgusted
16,4,8,disgusted
16,5,6,disgusted
16,10,5,disgusted
16,15,2,disgusted
16,20,7,disgusted
3,1,7,angry
3,2,3,angry
3,3,1,angry
3,4,1,angry
3,5,9,angry
3,10,7,angry
3,15,1,angry
3,20,1,angry
3,1,1,happy
3,2,1,happy
3,3,9,happy
3,4,1,happy
3,5,1,happy
3,10,1,happy
3,15,9,happy
3,20,1,happy
3,1,5,disgusted
3,2,3,disgusted
3,3,1,disgusted
3,4,9,disgusted
3,5,1,disgusted
3,10,6,disgusted
3,15,1,disgusted
3,20,9,disgusted
6,1,5,angry
6,2,5,angry
6,3,1,angry
6,4,4,angry
6,5,9,angry
6,10,5,angry
6,15,1,angry
6,20,7,angry
6,1,5,happy
6,2,5,happy
6,3,8,happy
6,4,4,happy
6,5,6,happy
6,10,5,happy
6,15,9,happy
6,20,3,happy
6,1,5,disgusted
6,2,5,disgusted
6,3,6,disgusted
6,4,3,disgusted
6,5,4,disgusted
6,10,5,disgusted
6,15,7,disgusted
6,20,5,disgusted
12,1,6,angry
12,2,3,angry
12,3,1,angry
12,4,1,angry
12,5,8,angry
12,10,8,angry
12,15,1,angry
12,20,6,angry
12,1,2,happy
12,2,3,happy
12,3,7,happy
12,4,1,happy
12,5,1,happy
12,10,1,happy
12,15,7,happy
12,20,2,happy
12,1,1,disgusted
12,2,2,disgusted
12,3,1,disgusted
12,4,8,disgusted
12,5,2,disgusted
12,10,3,disgusted
12,15,1,disgusted
12,20,5,disgusted
8,1,5,angry
8,2,2,angry
8,3,1,angry
8,4,3,angry
8,5,9,angry
8,10,5,angry
8,15,1,angry
8,20,5,angry
8,1,1,happy
8,2,4,happy
8,3,9,happy
8,4,1,happy
8,5,1,happy
8,10,1,happy
8,15,8,happy
8,20,1,happy
8,1,6,disgusted
8,2,2,disgusted
8,3,1,disgusted
8,4,9,disgusted
8,5,4,disgusted
8,10,9,disgusted
8,15,1,disgusted
8,20,9,disgusted
11,1,7,angry
11,2,2,angry
11,3,1,angry
11,4,5,angry
11,5,9,angry
11,10,3,angry
11,15,1,angry
11,20,3,angry
11,1,2,happy
11,2,7,happy
11,3,9,happy
11,4,1,happy
11,5,1,happy
11,10,2,happy
11,15,9,happy
11,20,1,happy
11,1,6,disgusted
11,2,3,disgusted
11,3,1,disgusted
11,4,5,disgusted
11,5,5,disgusted
11,10,5,disgusted
11,15,2,disgusted
11,20,5,disgusted
5,1,8,angry
5,2,2,angry
5,3,1,angry
5,4,1,angry
5,5,9,angry
5,10,2,angry
5,15,1,angry
5,20,1,angry
5,1,1,happy
5,2,3,happy
5,3,6,happy
5,4,1,happy
5,5,1,happy
5,10,3,happy
5,15,7,happy
5,20,1,happy
5,1,3,disgusted
5,2,2,disgusted
5,3,1,disgusted
5,4,9,disgusted
5,5,2,disgusted
5,10,3,disgusted
5,15,1,disgusted
5,20,9,disgusted
30,1,7,angry
30,2,2,angry
30,3,1,angry
30,4,4,angry
30,5,8,angry
30,10,2,angry
30,15,1,angry
30,20,3,angry
30,1,1,happy
30,2,3,happy
30,3,8,happy
30,4,1,happy
30,5,1,happy
30,10,3,happy
30,15,8,happy
30,20,1,happy
30,1,3,disgusted
30,2,1,disgusted
30,3,1,disgusted
30,4,8,disgusted
30,5,2,disgusted
30,10,1,disgusted
30,15,1,disgusted
30,20,9,disgusted
14,1,8,angry
14,2,4,angry
14,3,1,angry
14,4,7,angry
14,5,7,angry
14,10,5,angry
14,15,1,angry
14,20,4,angry
14,1,1,happy
14,2,5,happy
14,3,7,happy
14,4,1,happy
14,5,2,happy
14,10,5,happy
14,15,6,happy
14,20,2,happy
14,1,2,disgusted
14,2,2,disgusted
14,3,1,disgusted
14,4,9,disgusted
14,5,2,disgusted
14,10,2,disgusted
14,15,1,disgusted
14,20,9,disgusted
4,1,7,angry
4,2,5,angry
4,3,1,angry
4,4,7,angry
4,5,8,angry
4,10,1,angry
4,15,1,angry
4,20,7,angry
4,1,3,happy
4,2,5,happy
4,3,9,happy
4,4,3,happy
4,5,1,happy
4,10,1,happy
4,15,8,happy
4,20,1,happy
4,1,8,disgusted
4,2,1,disgusted
4,3,1,disgusted
4,4,9,disgusted
4,5,2,disgusted
4,10,1,disgusted
4,15,1,disgusted
4,20,9,disgusted
24,1,5,angry
24,2,5,angry
24,3,1,angry
24,4,6,angry
24,5,8,angry
24,10,5,angry
24,15,1,angry
24,20,3,angry
24,1,5,happy
24,2,5,happy
24,3,8,happy
24,4,1,happy
24,5,1,happy
24,10,5,happy
24,15,9,happy
24,20,1,happy
24,1,4,disgusted
24,2,5,disgusted
24,3,1,disgusted
24,4,2,disgusted
24,5,4,disgusted
24,10,5,disgusted
24,15,1,disgusted
24,20,6,disgusted
1,1,7,angry
1,2,4,angry
1,3,1,angry
1,4,5,angry
1,5,9,angry
1,10,5,angry
1,15,1,angry
1,20,9,angry
1,1,1,happy
1,2,4,happy
1,3,9,happy
1,4,1,happy
1,5,1,happy
1,10,3,happy
1,15,9,happy
1,20,1,happy
1,1,4,disgusted
1,2,1,disgusted
1,3,1,disgusted
1,4,8,disgusted
1,5,1,disgusted
1,10,4,disgusted
1,15,1,disgusted
1,20,5,disgusted
26,1,6,angry
26,2,2,angry
26,3,1,angry
26,4,4,angry
26,5,9,angry
26,10,6,angry
26,15,1,angry
26,20,3,angry
26,1,1,happy
26,2,2,happy
26,3,1,happy
26,4,1,happy
26,5,1,happy
26,10,1,happy
26,15,7,happy
26,20,1,happy
26,1,2,disgusted
26,2,1,disgusted
