subject,pic_id,rating,question
24,19,1,happy
24,21,4,happy
24,22,2,happy
24,23,5,happy
24,24,6,happy
24,25,3,happy
24,26,3,happy
24,27,4,happy
24,28,4,happy
24,29,4,happy
24,31,9,happy
24,32,7,happy
24,33,9,happy
24,34,9,happy
24,35,8,happy
24,36,7,happy
24,37,7,happy
24,38,8,happy
24,39,8,happy
24,11,7,angry
24,12,9,angry
24,13,9,angry
24,14,7,angry
24,15,5,angry
24,16,8,angry
24,17,8,angry
24,18,7,angry
24,19,8,angry
24,21,6,angry
24,22,6,angry
24,23,3,angry
24,24,1,angry
24,25,2,angry
24,26,2,angry
24,27,3,angry
24,28,6,angry
24,29,3,angry
24,31,1,angry
24,32,1,angry
24,33,1,angry
24,34,1,angry
24,35,1,angry
24,36,2,angry
24,37,1,angry
24,38,1,angry
24,39,1,angry
19,11,4,happy
19,12,1,happy
19,13,4,happy
19,14,1,happy
19,15,1,happy
19,16,1,happy
19,17,1,happy
19,18,1,happy
19,19,1,happy
19,21,4,happy
19,22,2,happy
19,23,2,happy
19,24,3,happy
19,25,4,happy
19,26,2,happy
19,27,3,happy
19,28,3,happy
19,29,3,happy
19,31,9,happy
19,32,6,happy
19,33,9,happy
19,34,8,happy
19,35,8,happy
19,36,8,happy
19,37,7,happy
19,38,8,happy
19,39,8,happy
19,11,7,angry
19,12,9,angry
19,13,6,angry
19,14,9,angry
19,15,9,angry
19,16,7,angry
19,17,9,angry
19,18,8,angry
19,19,9,angry
19,21,5,angry
19,22,8,angry
19,23,7,angry
19,24,5,angry
19,25,5,angry
19,26,4,angry
19,27,4,angry
19,28,7,angry
19,29,6,angry
19,31,1,angry
19,32,1,angry
19,33,1,angry
19,34,2,angry
19,35,1,angry
19,36,1,angry
19,37,1,angry
19,38,1,angry
19,39,1,angry
15,11,1,happy
15,12,1,happy
15,13,1,happy
15,14,1,happy
15,15,1,happy
15,16,1,happy
15,17,1,happy
15,18,1,happy
15,19,1,happy
15,21,3,happy
15,22,2,happy
15,23,2,happy
15,24,1,happy
15,25,2,happy
15,26,2,happy
15,27,5,happy
15,28,2,happy
15,29,1,happy
15,31,9,happy
15,32,5,happy
15,33,8,happy
15,34,7,happy
15,35,7,happy
15,36,7,happy
15,37,7,happy
15,38,8,happy
15,39,8,happy
15,11,7,angry
15,12,8,angry
15,13,9,angry
15,14,8,angry
15,15,9,angry
15,16,8,angry
15,17,9,angry
15,18,8,angry
15,19,9,angry
15,21,3,angry
15,22,2,angry
15,23,5,angry
15,24,7,angry
15,25,6,angry
15,26,3,angry
15,27,6,angry
15,28,2,angry
15,29,6,angry
15,31,1,angry
15,32,1,angry
15,33,1,angry
15,34,1,angry
15,35,2,angry
15,36,3,angry
15,37,1,angry
15,38,1,angry
15,39,1,angry
23,11,4,happy
23,12,5,happy
23,13,1,happy
23,14,2,happy
23,15,1,happy
23,16,2,happy
23,17,1,happy
23,18,3,happy
23,19,1,happy
23,21,2,happy
23,22,3,happy
23,23,4,happy
23,24,3,happy
23,25,5,happy
23,26,4,happy
23,27,5,happy
23,28,3,happy
23,29,4,happy
23,31,9,happy
23,32,7,happy
23,33,6,happy
23,34,8,happy
23,35,9,happy
23,36,8,happy
23,37,8,happy
23,38,8,happy
23,39,6,happy
23,11,6,angry
23,12,5,angry
23,13,9,angry
23,14,8,angry
23,15,3,angry
23,16,8,angry
23,17,9,angry
23,18,7,angry
23,19,9,angry
23,21,8,angry
23,22,4,angry
23,23,6,angry
23,24,5,angry
23,25,5,angry
23,26,4,angry
23,27,5,angry
23,28,4,angry
23,29,5,angry
23,31,1,angry
23,32,6,angry
23,33,4,angry
23,34,2,angry
23,35,1,angry
23,36,2,angry
23,37,2,angry
23,38,2,angry
23,39,4,angry
17,11,5,happy
17,12,1,happy
17,13,4,happy
17,14,3,happy
17,15,3,happy
17,16,1,happy
