subject,pic_id,rating,question
30,1,7,angry
30,2,2,angry
30,3,1,angry
30,4,2,angry
30,5,9,angry
30,10,3,angry
30,15,1,angry
30,20,1,angry
30,1,1,happy
30,2,2,happy
30,3,8,happy
30,4,5,happy
30,5,1,happy
30,10,2,happy
30,15,8,happy
30,20,1,happy
30,1,4,disgusted
30,2,2,disgusted
30,3,1,disgusted
30,4,8,disgusted
30,5,3,disgusted
30,10,4,disgusted
30,15,2,disgusted
30,20,9,disgusted
14,1,4,angry
14,2,2,angry
14,3,1,angry
14,4,1,angry
14,5,5,angry
14,10,2,angry
14,15,1,angry
14,20,8,angry
14,1,3,happy
14,2,3,happy
14,3,8,happy
14,4,2,happy
14,5,2,happy
14,10,1,happy
14,15,7,happy
14,20,2,happy
14,1,5,disgusted
14,2,2,disgusted
14,3,1,disgusted
14,4,8,disgusted
14,5,4,disgusted
14,10,2,disgusted
14,15,1,disgusted
14,20,7,disgusted
4,1,7,angry
4,2,3,angry
4,3,1,angry
4,4,3,angry
4,5,7,angry
4,10,4,angry
4,15,2,angry
4,20,8,angry
4,1,2,happy
4,2,3,happy
4,3,8,happy
4,4,3,happy
4,5,3,happy
4,10,4,happy
4,15,8,happy
4,20,2,happy
4,1,7,disgusted
4,2,3,disgusted
4,3,8,disgusted
4,4,3,disgusted
4,5,2,disgusted
4,10,4,disgusted
4,15,8,disgusted
4,20,2,disgusted
24,1,3,angry
24,2,1,angry
24,3,1,angry
24,4,1,angry
24,5,1,angry
24,10,2,angry
24,15,1,angry
24,20,1,angry
24,1,1,happy
24,2,1,happy
24,3,9,happy
24,4,1,happy
24,5,1,happy
24,10,1,happy
24,15,8,happy
24,20,1,happy
24,1,1,disgusted
24,2,1,disgusted
24,3,1,disgusted
24,4,9,disgusted
24,5,1,disgusted
24,10,1,disgusted
24,15,1,disgusted
24,20,9,disgusted
1,1,3,angry
1,2,3,angry
1,3,1,angry
1,4,3,angry
1,5,9,angry
1,10,5,angry
1,15,1,angry
1,20,7,angry
1,1,1,happy
1,2,1,happy
1,3,9,happy
1,4,1,happy
1,5,1,happy
1,10,1,happy
1,15,7,happy
1,20,1,happy
1,1,6,disgusted
1,2,1,disgusted
1,3,1,disgusted
1,4,7,disgusted
1,5,2,disgusted
1,10,6,disgusted
1,15,3,disgusted
1,20,9,disgusted
26,1,8,angry
26,2,1,angry
26,3,1,angry
26,4,1,angry
26,5,9,angry
26,10,3,angry
26,15,1,angry
26,20,1,angry
26,1,1,happy
26,2,2,happy
26,3,8,happy
26,4,1,happy
26,5,1,happy
26,10,1,happy
26,15,8,happy
26,20,1,happy
26,1,1,disgusted
26,2,1,disgusted
26,3,1,disgusted
26,4,8,disgusted
26,5,1,disgusted
26,10,5,disgusted
26,15,1,disgusted
26,20,8,disgusted
19,1,1,angry
19,2,2,angry
19,3,1,angry
19,4,2,angry
19,5,9,angry
19,10,3,angry
19,15,1,angry
19,20,5,angry
19,1,4,happy
19,2,3,happy
19,3,9,happy
19,4,1,happy
19,5,7,happy
19,10,1,happy
19,15,9,happy
19,20,3,happy
19,1,4,disgusted
19,2,4,disgusted
19,3,5,disgusted
19,4,3,disgusted
19,5,5,disgusted
19,10,4,disgusted
19,15,9,disgusted
19,20,3,disgusted
15,1,2,angry
15,2,1,angry
15,3,1,angry
15,4,7,angry
15,5,8,angry
15,10,4,angry
15,15,1,angry
15,20,7,angry
15,1,2,happy
15,2,2,happy
15,3,8,happy
15,4,1,happy
15,5,2,happy
15,10,1,happy
15,15,9,happy
15,20,1,happy
15,1,3,disgusted
15,2,4,disgusted
15,3,2,disgusted
15,4,4,disgusted
15,5,6,disgusted
15,10,4,disgusted
15,15,1,disgusted
15,20,7,disgusted
23,1,4,angry
23,2,1,angry
23,3,1,angry
23,4,1,angry
23,5,7,angry
23,10,1,angry
23,15,1,angry
23,20,1,angry
23,1,1,happy
23,2,1,happy
23,3,9,happy
23,4,1,happy
23,5,1,happy
23,10,1,happy
23,15,7,happy
23,20,1,happy
23,1,2,disgusted
23,2,1,disgusted
23,3,1,disgusted
23,4,8,disgusted
23,5,1,disgusted
23,10,1,disgusted
23,15,1,disgusted
23,20,9,disgusted
17,1,6,angry
17,2,4,angry
17,3,1,angry
17,4,6,angry
17,5,9,angry
17,10,6,angry
17,15,1,angry
17,20,8,angry
17,1,2,happy
17,2,1,happy
17,3,7,happy
17,4,1,happy
17,5,1,happy
17,10,2,happy
17,15,8,happy
17,20,2,happy
17,1,6,disgusted
17,2,5,disgusted
17,3,1,disgusted
17,4,8,disgusted
17,5,3,disgusted
17,10,2,disgusted
17,15,1,disgusted
17,20,8,disgusted
29,1,3,angry
29,2,1,angry
29,3,1,angry
29,4,7,angry
29,5,8,angry
29,10,1,angry
29,15,1,angry
