subject,pic_id,rating,question
10,1,4,angry
10,2,3,angry
10,3,2,angry
10,4,3,angry
10,5,8,angry
10,10,4,angry
10,15,1,angry
10,20,1,angry
10,1,2,happy
10,2,3,happy
10,3,8,happy
10,4,1,happy
10,5,1,happy
10,10,2,happy
10,15,9,happy
10,20,1,happy
10,1,8,disgusted
10,2,7,disgusted
10,3,1,disgusted
10,4,8,disgusted
10,5,1,disgusted
10,10,8,disgusted
10,15,2,disgusted
10,20,9,disgusted
7,1,7,angry
7,2,6,angry
7,3,1,angry
7,4,5,angry
7,5,9,angry
7,10,6,angry
7,15,1,angry
7,20,6,angry
7,1,1,happy
7,2,3,happy
7,3,8,happy
7,4,2,happy
7,5,1,happy
7,10,3,happy
7,15,9,happy
7,20,1,happy
7,1,2,disgusted
7,2,2,disgusted
7,3,1,disgusted
7,4,8,disgusted
7,5,2,disgusted
7,10,3,disgusted
7,15,1,disgusted
7,20,8,disgusted
13,1,4,angry
13,2,2,angry
13,3,1,angry
13,4,2,angry
13,5,8,angry
13,10,2,angry
13,15,1,angry
13,20,7,angry
13,1,3,happy
13,2,5,happy
13,3,7,happy
13,4,3,happy
13,5,1,happy
13,10,4,happy
13,15,7,happy
13,20,1,happy
13,1,3,disgusted
13,2,1,disgusted
13,3,1,disgusted
13,4,7,disgusted
13,5,1,disgusted
13,10,2,disgusted
13,15,1,disgusted
13,20,9,disgusted
16,1,8,angry
16,2,6,angry
16,3,1,angry
16,4,4,angry
16,5,9,angry
16,10,6,angry
16,15,1,angry
16,20,3,angry
16,1,3,happy
16,2,3,happy
16,3,9,happy
16,4,2,happy
16,5,1,happy
16,10,2,happy
16,15,9,happy
16,20,4,happy
16,1,3,disgusted
16,2,5,disgusted
16,3,2,disgusted
16,4,8,disgusted
16,5,2,disgusted
16,10,4,disgusted
16,15,1,disgusted
16,20,4,disgusted
3,1,7,angry
3,2,1,angry
3,3,1,angry
3,4,1,angry
3,5,9,angry
3,10,6,angry
3,15,1,angry
3,20,1,angry
3,1,1,happy
3,2,3,happy
3,3,9,happy
3,4,3,happy
3,5,1,happy
3,10,4,happy
3,15,8,happy
3,20,1,happy
3,1,7,disgusted
3,2,1,disgusted
3,3,1,disgusted
3,4,9,disgusted
3,5,2,disgusted
3,10,1,disgusted
3,15,1,disgusted
3,20,9,disgusted
6,1,6,angry
6,2,1,angry
6,3,1,angry
6,4,2,angry
6,5,7,angry
6,10,1,angry
6,15,1,angry
6,20,6,angry
6,1,2,happy
6,2,5,happy
6,3,6,happy
6,4,3,happy
6,5,2,happy
6,10,2,happy
6,15,9,happy
6,20,2,happy
6,1,5,disgusted
6,2,6,disgusted
6,3,2,disgusted
6,4,7,disgusted
6,5,5,disgusted
6,10,2,disgusted
6,15,1,disgusted
6,20,7,disgusted
12,1,5,angry
12,2,2,angry
12,3,1,angry
12,4,7,angry
12,5,8,angry
12,10,3,angry
12,15,1,angry
12,20,7,angry
12,1,1,happy
12,2,6,happy
12,3,8,happy
12,4,2,happy
12,5,1,happy
12,10,2,happy
12,15,8,happy
12,20,1,happy
12,1,3,disgusted
12,2,1,disgusted
12,3,1,disgusted
12,4,7,disgusted
12,5,3,disgusted
12,10,2,disgusted
12,15,1,disgusted
12,20,1,disgusted
8,1,4,angry
8,2,4,angry
8,3,1,angry
8,4,2,angry
8,5,9,angry
8,10,5,angry
8,15,1,angry
8,20,7,angry
8,1,2,happy
8,2,1,happy
8,3,3,happy
8,4,1,happy
8,5,1,happy
8,10,2,happy
8,15,7,happy
8,20,2,happy
8,1,2,disgusted
8,2,2,disgusted
8,3,2,disgusted
8,4,7,disgusted
8,5,1,disgusted
8,10,1,disgusted
8,15,1,disgusted
8,20,6,disgusted
11,1,8,angry
11,2,2,angry
11,3,1,angry
11,4,1,angry
11,5,9,angry
11,10,3,angry
11,15,2,angry
11,20,1,angry
11,1,2,happy
11,2,5,happy
11,3,8,happy
11,4,7,happy
11,5,1,happy
11,10,5,happy
11,15,7,happy
11,20,1,happy
11,1,4,disgusted
11,2,5,disgusted
11,3,1,disgusted
11,4,3,disgusted
11,5,4,disgusted
11,10,6,disgusted
11,15,2,disgusted
11,20,9,disgusted
5,1,5,angry
5,2,1,angry
5,3,1,angry
5,4,3,angry
5,5,8,angry
5,10,5,angry
5,15,1,angry
5,20,2,angry
5,1,2,happy
5,2,3,happy
5,3,6,happy
5,4,1,happy
5,5,2,happy
5,10,2,happy
5,15,7,happy
5,20,1,happy
5,1,6,disgusted
5,2,2,disgusted
5,3,1,disgusted
5,4,7,disgusted
5,5,4,disgusted
5,10,6,disgusted
5,15,2,disgusted
5,20,9,disgusted
14,1,7,angry
14,2,1,angry
14,3,1,angry
14,4,1,angry
14,5,9,angry
14,10,6,angry
14,15,1,angry
14,20,1,angry
14,1,1,happy
14,2,5,happy
14,3,8,happy
14,4,1,happy
14,5,1,happy
14,10,4,happy
14,15,8,happy
14,20,1,happy
14,1,4,disgusted
14,2,1,disgusted
14,3,2,disgusted
14,4,7,disgusted
14,5,1,disgusted
14,10,3,disgusted
14,15,1,disgusted
14,20,9,disgusted
4,1,6,angry
4,2,5,angry
4,3,3,angry
4,4,8,angry
4,5,9,angry
4,10,3,angry
4,15,2,angry
4,20,7,angry
4,1,1,happy
4,2,5,happy
4,3,7,happy
4,4,2,happy
4,5,1,happy
4,10,5,happy
4,15,6,happy
4,20,1,happy
4,1,5,disgusted
4,2,5,disgusted
4,3,3,disgusted
4,4,8,disgusted
4,5,7,disgusted
4,10,5,disgusted
4,15,4,disgusted
4,20,7,disgusted
1,1,6,angry
1,2,2,angry
1,3,1,angry
1,4,2,angry
1,5,8,angry
1,10,2,angry
1,15,1,angry
1,20,2,angry
1,1,1,happy
1,2,2,happy
1,3,7,happy
1,4,1,happy
1,5,1,happy
1,10,1,happy
1,15,6,happy
1,20,1,happy
1,1,5,disgusted
1,2,1,disgusted
1,3,1,disgusted
1,4,9,disgusted
1,5,6,disgusted
1,10,4,disgusted
1,15,1,disgusted
1,20,8,disgusted
15,1,2,angry
15,2,1,angry
15,3,1,angry
15,4,2,angry
15,5,8,angry
15,10,1,angry
15,15,1,angry
15,20,2,angry
15,1,1,happy
15,2,1,happy
15,3,7,happy
15,4,1,happy
15,5,1,happy
15,10,1,happy
15,15,9,happy
15,20,1,happy
15,1,3,disgusted
15,2,1,disgusted
15,3,1,disgusted
15,4,8,disgusted
15,5,3,disgusted
15,10,1,disgusted
15,15,1,disgusted
15,20,9,disgusted
9,1,7,angry
9,2,4,angry
9,3,1,angry
9,4,3,angry
9,5,9,angry
9,10,8,angry
9,15,1,angry
9,20,6,angry
9,1,1,happy
9,2,1,happy
9,3,9,happy
9,4,1,happy
9,5,1,happy
9,10,2,happy
9,15,8,happy
9,20,1,happy
9,1,5,disgusted
9,2,5,disgusted
9,3,1,disgusted
9,4,9,disgusted
