cond,rt,subjects
A_up,411,1
N_up,405,1
I_up,433,1
A_dw,411,1
N_dw,436.5,1
I_dw,444,1
A_up,416,2
N_up,450,2
I_up,415,2
A_dw,440,2
N_dw,417,2
I_dw,401,2
A_up,450,3
N_up,443,3
I_up,434,3
A_dw,441,3
N_dw,463,3
I_dw,461,3
A_up,449,4
N_up,433,4
I_up,438.5,4
A_dw,417,4
N_dw,419,4
I_dw,450,4
A_up,455,5
N_up,433,5
I_up,434,5
A_dw,424.5,5
N_dw,489.5,5
I_dw,483,5
A_up,405,6
N_up,405,6
I_up,413.5,6
A_dw,399,6
N_dw,395.5,6
I_dw,405,6
A_up,449,7
N_up,456,7
I_up,417.5,7
A_dw,477,7
N_dw,455,7
I_dw,466,7
A_up,440,8
N_up,433,8
I_up,432,8
A_dw,433,8
N_dw,433,8
I_dw,428,8
A_up,405,9
N_up,409,9
I_up,399,9
A_dw,413.5,9
N_dw,400,9
I_dw,402.5,9
A_up,467,10
N_up,471,10
I_up,459,10
A_dw,472,10
N_dw,453.5,10
I_dw,457,10
A_up,411.5,11
N_up,413,11
I_up,399,11
A_dw,397.5,11
N_dw,410,11
I_dw,412,11
A_up,438,12
N_up,422.5,12
I_up,450,12
A_dw,433,12
N_dw,431,12
I_dw,416,12
A_up,416,13
N_up,416,13
I_up,400,13
A_dw,416,13
N_dw,416,13
I_dw,426,13
A_up,499.5,14
N_up,524.5,14
I_up,496,14
A_dw,531,14
N_dw,513.5,14
I_dw,529,14
A_up,453,15
N_up,467.5,15
I_up,462,15
A_dw,448.5,15
N_dw,437,15
I_dw,465.5,15
