cond,rt,subjects
n_up_m,456.5,22
i_up_m,nan,22
a_dw_m,566.0,22
n_dw_m,417.0,22
i_dw_m,nan,22
a_up_f,619.0,23
n_up_f,315.5,23
i_up_f,nan,23
a_dw_f,445.5,23
n_dw_f,382.0,23
i_dw_f,nan,23
a_up_m,619.0,23
n_up_m,527.0,23
i_up_m,554.0,23
a_dw_m,406.0,23
n_dw_m,588.0,23
i_dw_m,764.0,23
a_up_f,593.0,24
n_up_f,577.5,24
i_up_f,575.0,24
a_dw_f,591.0,24
n_dw_f,514.0,24
i_dw_f,553.0,24
a_up_m,518.0,24
n_up_m,566.0,24
i_up_m,481.0,24
a_dw_m,708.0,24
n_dw_m,536.0,24
i_dw_m,713.0,24
a_up_f,559.5,25
n_up_f,533.0,25
i_up_f,475.0,25
a_dw_f,580.5,25
n_dw_f,489.5,25
i_dw_f,nan,25
a_up_m,517.0,25
n_up_m,480.0,25
i_up_m,499.0,25
a_dw_m,476.5,25
n_dw_m,683.0,25
i_dw_m,398.0,25
a_up_f,373.0,26
n_up_f,477.0,26
i_up_f,240.0,26
a_dw_f,470.5,26
n_dw_f,577.0,26
i_dw_f,nan,26
a_up_m,455.0,26
n_up_m,557.0,26
i_up_m,nan,26
a_dw_m,366.0,26
n_dw_m,506.0,26
i_dw_m,629.0,26
a_up_f,610.0,27
n_up_f,610.0,27
i_up_f,nan,27
a_dw_f,246.0,27
n_dw_f,610.0,27
i_dw_f,610.0,27
a_up_m,246.0,27
n_up_m,697.0,27
i_up_m,nan,27
a_dw_m,246.0,27
n_dw_m,610.0,27
i_dw_m,610.0,27
a_up_f,691.5,28
n_up_f,596.5,28
i_up_f,685.0,28
a_dw_f,476.5,28
n_dw_f,576.0,28
i_dw_f,768.0,28
a_up_m,557.0,28
n_up_m,525.0,28
i_up_m,563.0,28
a_dw_m,286.0,28
n_dw_m,610.0,28
i_dw_m,548.0,28
a_up_f,556.0,29
n_up_f,502.0,29
i_up_f,353.0,29
a_dw_f,203.0,29
n_dw_f,605.0,29
i_dw_f,456.0,29
a_up_m,691.0,29
n_up_m,434.0,29
i_up_m,645.5,29
a_dw_m,441.0,29
n_dw_m,648.0,29
i_dw_m,475.0,29
a_up_f,590.5,30
n_up_f,427.5,30
i_up_f,559.0,30
a_dw_f,455.0,30
n_dw_f,557.5,30
i_dw_f,653.0,30
a_up_m,482.5,30
