experiment,participant,orientation,regularity,variability,condition,RTs
pilot2,2,upright,irregular,low,upright_irregular_low,618
pilot2,2,inverted,angry,low,inverted_angry_low,551
pilot2,2,inverted,neutral,low,inverted_neutral_low,435
pilot2,2,inverted,irregular,low,inverted_irregular_low,523
pilot2,2,upright,angry,high,upright_angry_high,546
pilot2,2,upright,neutral,high,upright_neutral_high,501
pilot2,2,upright,irregular,high,upright_irregular_high,609
pilot2,2,inverted,angry,high,inverted_angry_high,417
pilot2,2,inverted,neutral,high,inverted_neutral_high,502
pilot2,2,inverted,irregular,high,inverted_irregular_high,596.5
pilot2,3,upright,angry,low,upright_angry_low,613
pilot2,3,upright,neutral,low,upright_neutral_low,502
pilot2,3,upright,irregular,low,upright_irregular_low,466.5
pilot2,3,inverted,angry,low,inverted_angry_low,602
pilot2,3,inverted,neutral,low,inverted_neutral_low,604.5
pilot2,3,inverted,irregular,low,inverted_irregular_low,563
pilot2,3,upright,angry,high,upright_angry_high,561
pilot2,3,upright,neutral,high,upright_neutral_high,560
pilot2,3,upright,irregular,high,upright_irregular_high,456
pilot2,3,inverted,angry,high,inverted_angry_high,468
pilot2,3,inverted,neutral,high,inverted_neutral_high,502
pilot2,3,inverted,irregular,high,inverted_irregular_high,722
pilot2,4,upright,angry,low,upright_angry_low,542
pilot2,4,upright,neutral,low,upright_neutral_low,448.5
pilot2,4,upright,irregular,low,upright_irregular_low,601
pilot2,4,inverted,angry,low,inverted_angry_low,572.5
pilot2,4,inverted,neutral,low,inverted_neutral_low,570
pilot2,4,inverted,irregular,low,inverted_irregular_low,625
pilot2,4,upright,angry,high,upright_angry_high,593.5
pilot2,4,upright,neutral,high,upright_neutral_high,490
pilot2,4,upright,irregular,high,upright_irregular_high,465.5
pilot2,4,inverted,angry,high,inverted_angry_high,520
pilot2,4,inverted,neutral,high,inverted_neutral_high,618
pilot2,4,inverted,irregular,high,inverted_irregular_high,518
pilot2,5,upright,angry,low,upright_angry_low,582
pilot2,5,upright,neutral,low,upright_neutral_low,513
pilot2,5,upright,irregular,low,upright_irregular_low,485
pilot2,5,inverted,angry,low,inverted_angry_low,589
pilot2,5,inverted,neutral,low,inverted_neutral_low,529
pilot2,5,inverted,irregular,low,inverted_irregular_low,459.5
pilot2,5,upright,angry,high,upright_angry_high,625
pilot2,5,upright,neutral,high,upright_neutral_high,601
pilot2,5,upright,irregular,high,upright_irregular_high,728.5
pilot2,5,inverted,angry,high,inverted_angry_high,590
pilot2,5,inverted,neutral,high,inverted_neutral_high,470.5
pilot2,5,inverted,irregular,high,inverted_irregular_high,499.5
pilot2,6,upright,angry,low,upright_angry_low,501
pilot2,6,upright,neutral,low,upright_neutral_low,517
pilot2,6,upright,irregular,low,upright_irregular_low,450.5
pilot2,6,inverted,angry,low,inverted_angry_low,538
pilot2,6,inverted,neutral,low,inverted_neutral_low,480
pilot2,6,inverted,irregular,low,inverted_irregular_low,554
pilot2,6,upright,angry,high,upright_angry_high,560.5
pilot2,6,upright,neutral,high,upright_neutral_high,519
pilot2,6,upright,irregular,high,upright_irregular_high,617
pilot2,6,inverted,angry,high,inverted_angry_high,530
pilot2,6,inverted,neutral,high,inverted_neutral_high,429.5
pilot2,6,inverted,irregular,high,inverted_irregular_high,668
pilot2,7,upright,angry,low,upright_angry_low,573.5
pilot2,7,upright,neutral,low,upright_neutral_low,468
pilot2,7,upright,irregular,low,upright_irregular_low,507
pilot2,7,inverted,angry,low,inverted_angry_low,514
pilot2,7,inverted,neutral,low,inverted_neutral_low,456
pilot2,7,inverted,irregular,low,inverted_irregular_low,651
pilot2,7,upright,angry,high,upright_angry_high,519
pilot2,7,upright,neutral,high,upright_neutral_high,651.5
pilot2,7,upright,irregular,high,upright_irregular_high,759.5
pilot2,7,inverted,angry,high,inverted_angry_high,618
pilot2,7,inverted,neutral,high,inverted_neutral_high,622
pilot2,7,inverted,irregular,high,inverted_irregular_high,512
